country,iso3c,year,unemployment,trade,fdi,gov_debt,income,lending,income_num,lending_num,unemployment_z,gov_debt_z,trade_z,fdi_z,income_z,lending_z,economic_security_index,rank
Aruba,ABW,2005,6.0875,145.050280144237,-8.8049356352136,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,1.0079809985101043,-0.27351206502578956,1.0349451308387727,-0.04865595122045556,0.34727018232231693,32
Aruba,ABW,2006,6.0875,141.042626734626,8.92046662114826,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,0.935473751175453,-0.015268020191564416,1.0349451308387727,-0.04865595122045556,0.37822631523891265,32
Aruba,ABW,2007,6.0875,139.972309491093,-17.5903165005138,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,0.9161093627986342,-0.40150759693254995,1.0349451308387727,-0.04865595122045556,0.3106256543859452,52
Aruba,ABW,2008,6.0875,139.110149824701,0.664175810874169,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,0.9005110019166457,-0.13555515970669574,1.0349451308387727,-0.04865595122045556,0.35235133377658956,46
Aruba,ABW,2009,6.0875,137.556575933708,-0.41563759901472,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,0.87240343999606,-0.15128712328094182,1.0349451308387727,-0.04865595122045556,0.34504474619411757,37
Aruba,ABW,2010,6.0875,135.464654677581,7.61167220218675,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,0.8345559925199728,-0.034336042441258166,1.0349451308387727,-0.04865595122045556,0.3582286850880503,37
Aruba,ABW,2011,6.0875,154.437786862887,18.5057800383246,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,1.1778216014605782,0.12438184907822623,1.0349451308387727,-0.04865595122045556,0.4418926018313986,31
Aruba,ABW,2012,6.0875,156.645197205944,-12.0331802180755,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,1.2177585000280207,-0.320544844690534,1.0349451308387727,-0.04865595122045556,0.37439430263117895,39
Aruba,ABW,2013,6.0875,161.891280319633,9.97445509242152,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,1.3126716591725158,8.769597744706245e-5,1.0349451308387727,-0.04865595122045556,0.4436519192665916,25
Aruba,ABW,2014,6.0875,162.88205210123,7.46525460335849,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,1.3305968955335656,-0.036469222405777935,1.0349451308387727,-0.04865595122045556,0.4405466389295625,27
Aruba,ABW,2015,6.0875,145.833663297637,-0.907264204095971,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,1.0221541193506327,-0.15844970504964234,1.0349451308387727,-0.04865595122045556,0.36880942912509623,38
Aruba,ABW,2016,6.0875,142.239763387132,0.92339797912293,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,0.9571325810404473,-0.13177851304609703,1.0349451308387727,-0.04865595122045556,0.36241770474065627,35
Aruba,ABW,2017,6.0875,143.804295515015,5.25337330818787,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,0.9854384015206751,-0.06869445284606389,1.0349451308387727,-0.04865595122045556,0.3776493515206997,38
Aruba,ABW,2018,6.0875,145.213552350892,4.39982167334799,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,1.010934951125472,-0.08112997467332189,1.0349451308387727,-0.04865595122045556,0.37982618948362284,38
Aruba,ABW,2019,6.0875,145.343572735289,-2.21528256776249,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,1.0132873052854927,-0.17750642083331095,1.0349451308387727,-0.04865595122045556,0.36415550748362807,38
Aruba,ABW,2020,6.0875,124.137267233697,6.4897764502147,46.7379695314549,High income,Not classified,4,2,0.2842932682719819,0.07856971255928785,0.6296186890397202,-0.05068110997097313,1.0349451308387727,-0.04865595122045556,0.3213482899197223,34
Afghanistan,AFG,2005,7.885,78.690150124216,4.36867310434287,46.7379695314549,Low income,IDA,1,1,-0.039859450550677245,0.07856971255928785,-0.19261941992485868,-0.08158378284841102,-1.8423807717086775,-1.3562846402702027,-0.5723597254572566,198
